parameter,outer_width,inner_width,point_est,ll,l,m,h,hh
b_Intercept,0.95,0.8,median,0.25413400404243,0.353874257515967,0.538691707482806,0.726003190798966,0.844303437340095
b_scaletotal_load,0.95,0.8,median,-0.0895803545896595,-0.0621051727873119,-0.00333137221522241,0.0503092033554665,0.086595717808816
b_age_catyearling,0.95,0.8,median,-1.46763338023998,-1.4135294435283,-1.31012997173887,-1.20760922318621,-1.15647496123241
sd_site__Intercept,0.95,0.8,median,0.00351357437251854,0.0142012786677508,0.0766773128364254,0.230561534527263,0.394475904290898
sd_site:id__Intercept,0.95,0.8,median,0.189798901748854,0.24435054279904,0.327747900481231,0.399559563771724,0.437083551794573
sd_year__Intercept,0.95,0.8,median,0.197703948206208,0.246087611478323,0.352289772278915,0.530779188892249,0.678240225048981
sigma,0.95,0.8,median,0.60635740687035,0.621022634291283,0.659227933774028,0.703273931560632,0.726360073594466
r_site:id[TEE_D229753,Intercept],0.95,0.8,median,-0.409819391675357,-0.249049133604326,0.0752639566510349,0.389715230888411,0.541206272577339
r_site:id[TEE_D237304,Intercept],0.95,0.8,median,-0.489520465897167,-0.312078464535061,0.0333969827846588,0.38312794453607,0.566823728841872
r_site:id[TEE_D237385,Intercept],0.95,0.8,median,-0.50984298523776,-0.306465644172422,0.0363153911285247,0.386951723329393,0.592987564965449
r_site:id[TEE_D244025,Intercept],0.95,0.8,median,-0.751977054350105,-0.526686159105437,-0.180795685061566,0.168426826662193,0.335834522153187
r_site:id[TEE_D244027,Intercept],0.95,0.8,median,-0.748657545406079,-0.543351453652876,-0.226612750897969,0.0552912443038206,0.21962443384764
r_year[2002,Intercept],0.95,0.8,median,0.226559739104338,0.349318675681798,0.647988639255237,0.96612936521672,1.13666113091706
r_year[2003,Intercept],0.95,0.8,median,-0.47038027320011,-0.365278247142712,-0.137868163252371,0.0662805125159026,0.164819468747709
r_year[2004,Intercept],0.95,0.8,median,-0.57301033181204,-0.453738681767803,-0.232011882762078,-0.0411249957772337,0.0816721027858553
r_year[2005,Intercept],0.95,0.8,median,-0.570028470289903,-0.450275589825534,-0.251182315264168,-0.0640563414595251,0.0504226459637288
r_year[2006,Intercept],0.95,0.8,median,-0.0766152996771299,0.0273527100710377,0.213553404726976,0.407719921114931,0.502154597904987
r_year[2007,Intercept],0.95,0.8,median,-0.566891395829151,-0.45539138658682,-0.263486196179274,-0.0850704792147918,0.00455848425428475
r_year[2008,Intercept],0.95,0.8,median,0.058809544841046,0.158260440716794,0.326985669957992,0.512210787890213,0.607561791100937
r_year[2009,Intercept],0.95,0.8,median,-0.599996108338875,-0.459257260508874,-0.244315972093335,-0.0484962346000013,0.0736743681416046
r_year[2010,Intercept],0.95,0.8,median,-0.43915962239772,-0.28965914661785,-0.045760496969257,0.197694610998408,0.326894397525109
r_year[2011,Intercept],0.95,0.8,median,-0.428830858183832,-0.290494631707051,-0.0130431981537524,0.252824881782908,0.389487931897041
r_year[2012,Intercept],0.95,0.8,median,-0.642087730587627,-0.39656835286687,-0.027292955710009,0.34364197302265,0.549679873417834
r_year[2013,Intercept],0.95,0.8,median,-0.56874093611575,-0.375537247154628,0.0394574109335785,0.469398325995371,0.699641935578504
lprior,0.95,0.8,median,-9.81103279411455,-9.73217379397573,-9.58973820331123,-9.45730260300248,-9.3937967241056
lp__,0.95,0.8,median,-720.091239859165,-708.822912509011,-686.851884804565,-666.695403532559,-656.526033755261
